Título,Link,Seção,Data
Como prisão de brasileira nos EUA revelou que ICE monitora secretamente mensagens da polícia,https://g1.globo.com/mundo/noticia/2025/06/18/como-prisao-de-brasileira-nos-eua-revelou-que-ice-monitora-secretamente-mensagens-da-policia.ghtml,mundo,19/06/2025
Atiradores invadem casa nos EUA e na saída matam brasileiro que estava em carro estacionado,https://g1.globo.com/mg/vales-mg/noticia/2025/06/18/atiradores-invadem-casa-nos-eua-e-na-saida-matam-brasileiro-que-estava-em-carro-estacionado.ghtml,mundo,19/06/2025
Mulher é expulsa de voo depois de puxar cabelo e cuspir em outra passageira nos EUA,https://g1.globo.com/mundo/noticia/2025/06/18/mulher-e-expulsa-de-voo-depois-de-puxar-cabelo-e-cuspir-em-outra-passageira-nos-eua.ghtml,mundo,19/06/2025
As mulheres negras da Nasa,https://g1.globo.com/ciencia-e-saude/video/as-mulheres-negras-da-nasa-13692140.ghtml,ciencia,19/06/2025
Galáxia a 11 mi de anos-luz é mapeada em detalhe por astrônomos do Observatório Europeu do Sul,https://g1.globo.com/ciencia/noticia/2025/06/18/galaxia-a-11-mi-de-anos-luz-e-mapeada-em-detalhe-por-astronomos-do-observatorio-europeu-do-sul.ghtml,ciencia,19/06/2025
Agência Espacial Europeia cria primeiro eclipse solar totalmente artificial; veja imagens,https://g1.globo.com/ciencia/noticia/2025/06/18/satelites-europeus-criam-os-primeiros-eclipses-solares-artificiais-veja-imagens.ghtml,ciencia,19/06/2025
Tem brasileiro tentando detectar o Alzheimer na saliva,https://g1.globo.com/bemestar/blog/longevidade-modo-de-usar/post/2025/06/17/tem-brasileiro-tentando-detectar-o-alzheimer-na-saliva.ghtml,ciencia,19/06/2025
Smartphones viraram 'parasitas modernos': sobrevivem às custas de seres humanos enquanto lhes causam danos,https://g1.globo.com/saude/saude-mental/noticia/2025/06/16/smartphones-viraram-parasitas-modernos-sobrevivem-as-custas-de-seres-humanos-enquanto-lhes-causam-danos.ghtml,ciencia,19/06/2025
Um filme sobre os muitos desafios para envelhecer bem,https://g1.globo.com/bemestar/blog/longevidade-modo-de-usar/post/2025/06/15/um-filme-sobre-os-muitos-desafios-para-envelhecer-bem.ghtml,ciencia,19/06/2025
"'Luz da vida' que se apaga após a morte é encontrada em seres vivos e plantas, aponta estudo",https://g1.globo.com/ciencia/noticia/2025/06/15/luz-da-vida-que-se-apaga-apos-a-morte-e-encontrada-em-seres-vivos-e-plantas-aponta-estudo.ghtml,ciencia,19/06/2025
A nova espécie de dinossauro que 'reescreve' história da evolução do Tiranossauro Rex,https://g1.globo.com/ciencia/noticia/2025/06/15/a-nova-especie-de-dinossauro-que-reescreve-historia-da-evolucao-do-tiranossauro-rex.ghtml,ciencia,19/06/2025
"Simulações de computador revelam como a roda foi inventada, 6 mil anos atrás",https://g1.globo.com/ciencia/noticia/2025/06/15/simulacoes-de-computador-revelam-como-a-roda-foi-inventada-6-mil-anos-atras.ghtml,ciencia,19/06/2025
Humanos são naturalmente monogâmicos? E faz mesmo sentido ter um parceiro só?,https://g1.globo.com/ciencia/noticia/2025/06/14/humanos-sao-naturalmente-monogamicos-e-faz-mesmo-sentido-ter-um-parceiro-so.ghtml,ciencia,19/06/2025
Vagas para aplicadores de prova do Enem pagam até R$ 864 por dia; veja quem pode se inscrever,https://g1.globo.com/educacao/noticia/2025/06/18/inep-vagas-aplicadores-de-prova-do-enem.ghtml,educacao,19/06/2025
"Vítima de bullying nos EUA ganha R$ 5,5 milhões de indenização após escola tratar caso como 'drama adolescente'",https://g1.globo.com/educacao/noticia/2025/06/18/vitima-de-bullying-nos-eua-escola-indenizacao-milionaria.ghtml,educacao,19/06/2025
Prazo para pagar a taxa de inscrição do Enem 2025 é prorrogado; veja nova data,https://g1.globo.com/ac/acre/noticia/2025/06/17/prazo-para-pagar-a-taxa-de-inscricao-do-enem-2025-e-prorrogado-veja-nova-data.ghtml,educacao,19/06/2025
MEC publica edital do concurso unificado para professores; confira cronograma completo e estrutura da prova,https://g1.globo.com/educacao/noticia/2025/06/17/edital-prova-nacional-docente-2025.ghtml,educacao,19/06/2025
A universitária brasileira presa em centro para detenção de imigrantes nos EUA: 'Nenhum mandado de prisão foi emitido',https://g1.globo.com/educacao/noticia/2025/06/17/universitaria-brasileira-presa-em-centro-para-detencao-de-imigrantes-nos-eua.ghtml,educacao,19/06/2025
Taxa de inscrição do Enem: prazo para pagamento é estendido; veja nova data,https://g1.globo.com/educacao/enem/2025/noticia/2025/06/17/taxa-de-inscricao-do-enem-prazo-para-pagamento.ghtml,educacao,19/06/2025
Internato de medicina: tem salário ou bolsa? É obrigatório? Quantas horas de plantão? Veja respostas,https://g1.globo.com/educacao/noticia/2025/06/16/internato-de-medicina-perguntas-e-respostas.ghtml,educacao,19/06/2025
"Você acertaria questões de inglês do Gaokao, o vestibular chinês?",https://g1.globo.com/educacao/video/voce-acertaria-questoes-de-ingles-do-gaokao-o-vestibular-chines-13680114.ghtml,educacao,19/06/2025
"7 em cada 10 que cursaram faculdade no Brasil vieram da rede pública, mostra IBGE",https://g1.globo.com/educacao/noticia/2025/06/13/ibge-pnad-continua-2024.ghtml,educacao,19/06/2025
Descubra os principais sinais de gravidez e o momento certo de testar,https://g1.globo.com/saude/video/descubra-os-principais-sinais-de-gravidez-e-o-momento-certo-de-testar-13692124.ghtml,saude,19/06/2025
Bem-Estar #304: BURNOUT: saiba se você tem estresse crônico no trabalho,https://g1.globo.com/bemestar/podcast/noticia/2025/06/18/bem-estar-304-burnout-saiba-se-voce-tem-estresse-cronico-no-trabalho.ghtml,saude,19/06/2025
Sintomas de gravidez: veja os principais sinais e o momento certo de testar,https://g1.globo.com/saude/bem-estar/noticia/2025/06/18/sintomas-de-gravidez-veja-os-principais-sinais-e-o-momento-certo-de-testar.ghtml,saude,19/06/2025
"Crianças e adolescentes que praticam esporte têm menos chances de desenvolver depressão, ansiedade e dependência química, aponta estudo",https://g1.globo.com/saude/bem-estar/noticia/2025/06/18/criancas-e-adolescentes-que-praticam-esporte-tem-menos-chances-de-desenvolver-depressao-ansiedade-e-dependencia-quimica-aponta-estudo.ghtml,saude,19/06/2025
Como desvendar os segredos dos chás medicinais,https://g1.globo.com/saude/video/como-desvendar-os-segredos-dos-chas-medicinais-13689372.ghtml,saude,19/06/2025
Fungo da série The Last of Us pode afetar humanos e causar nova pandemia?,https://g1.globo.com/saude/video/fungo-da-serie-the-last-of-us-pode-afetar-humanos-e-causar-nova-pandemia-13689326.ghtml,saude,19/06/2025
"Entenda o que é uma infecção bacteriana severa, que fez Anitta cancelar show",https://g1.globo.com/saude/video/entenda-o-que-e-uma-infeccao-bacteriana-severa-que-fez-anitta-cancelar-show-13689282.ghtml,saude,19/06/2025
Congresso derruba veto de Lula e retoma pensão vitalícia a crianças vítimas da Zika,https://g1.globo.com/politica/noticia/2025/06/17/congresso-derruba-veto-de-lula-e-retoma-pensao-vitalicia-a-criancas-vitimas-da-zika.ghtml,saude,19/06/2025
Infecção bacteriana severa de Anitta: como surge e por que exige antibiótico na veia,https://g1.globo.com/saude/noticia/2025/06/17/infeccao-bacteriana-severa-de-anitta.ghtml,saude,19/06/2025
'Extremamente assustador': Rafael Zulu fala sobre internação após consumo excessivo de energético,https://g1.globo.com/fantastico/noticia/2025/06/17/extremamente-assustador-rafael-zulu-fala-sobre-internacao-apos-consumo-excessivo-de-energico.ghtml,saude,19/06/2025
Os moradores de Barcelona que protestam contra excesso de turistas: 'Seu Airbnb era minha casa',https://g1.globo.com/turismo-e-viagem/noticia/2025/06/18/os-moradores-de-barcelona-que-protestam-contra-excesso-de-turistas-seu-airbnb-era-minha-casa.ghtml,turismo,19/06/2025
Turismo em massa: Louvre fecha após funcionários entrarem em greve contra superlotação,https://g1.globo.com/turismo-e-viagem/noticia/2025/06/16/louvre-fechado-funcionarios-entram-em-greve-contra-turismo-em-excesso.ghtml,turismo,19/06/2025
VÍDEO: visitante tenta tirar foto e quebra cadeira exposta em museu na Itália,https://g1.globo.com/turismo-e-viagem/noticia/2025/06/13/video-visitante-tenta-tirar-foto-e-quebra-cadeira-exposta-em-museu-na-italia.ghtml,turismo,19/06/2025
"Visitante quebra obra exposta em museu em Verona, na Itália",https://g1.globo.com/turismo-e-viagem/video/visitante-quebra-obra-exposta-em-museu-em-verona-na-italia-13677430.ghtml,turismo,19/06/2025
"Passageiros expulsos de voos pagarão multa de R$ 3 mil, anuncia companhia europeia",https://g1.globo.com/turismo-e-viagem/noticia/2025/06/12/passageiros-indisciplinados-expulsos-de-voos-pagarao-multa-de-r-3-mil-anuncia-companhia-europeia.ghtml,turismo,19/06/2025
Como taxas de bagagem cobradas por empresas aéreas viraram negócio bilionário,https://g1.globo.com/turismo-e-viagem/noticia/2025/06/07/como-taxas-de-bagagem-cobradas-por-empresas-aereas-viraram-negocio-bilionario.ghtml,turismo,19/06/2025
Brasil tem quatro restaurantes entre os melhores do mundo; veja quais são,https://g1.globo.com/turismo-e-viagem/noticia/2025/06/05/brasil-tem-pelo-menos-quatro-restaurantes-entre-os-100-melhores-do-mundo-veja-quais-sao.ghtml,turismo,19/06/2025
É #FAKE imagem que imita o g1 e cita loja de produtos da Disney que viralizou na internet,https://g1.globo.com/fato-ou-fake/noticia/2025/06/03/e-fake-imagem-que-imita-o-g1-e-cita-loja-de-produtos-da-disney-que-viralizou-na-internet.ghtml,turismo,19/06/2025
Cidade da Alemanha oferece moradia de graça para atrair novos habitantes,https://g1.globo.com/mundo/noticia/2025/06/02/cidade-alema-oferece-moradia-gratuita-para-atrair-moradores.ghtml,turismo,19/06/2025
Calote em intercâmbio: agência fecha as portas sem devolver dinheiro de clientes que iriam estudar na Irlanda,https://g1.globo.com/sp/sao-paulo/noticia/2025/06/02/calote-em-intercambio-agencia-fecha-as-portas-sem-devolver-dinheiro-de-clientes-que-iriam-estudar-na-irlanda.ghtml,turismo,19/06/2025
Volkswagen Tera recebe cinco estrelas em teste de segurança do Latin NCAP,https://g1.globo.com/carros/noticia/2025/06/18/volkswagen-tera-recebe-cinco-estrelas-em-teste-de-seguranca-do-latin-ncap.ghtml,carros,19/06/2025
"Liso, misto ou esportivo? Veja como escolher o pneu certo para moto",https://g1.globo.com/carros/motos/noticia/2025/06/17/liso-misto-ou-esportivo-veja-como-escolher-o-pneu-certo-para-moto.ghtml,carros,19/06/2025
Carro elétrico pode ser carregado no poste? Especialistas alertam para os perigos dessa prática,https://g1.globo.com/carros/noticia/2025/06/15/carro-eletrico-carregado-no-poste-especialistas-alertam-para-os-perigos-dessa-pratica.ghtml,carros,19/06/2025
"Omoda E5 é mais um SUV chinês elétrico, mas ataca faixa de preço com poucos rivais; veja teste",https://g1.globo.com/carros/noticia/2025/06/14/omoda-e5-e-mais-um-suv-chines-eletrico-mas-ataca-faixa-de-preco-com-poucos-rivais-veja-teste.ghtml,carros,19/06/2025
"Honda Civic, RAM 3500 e GWM Poer: veja lançamentos (fora os SUVs) confirmados na semana",https://g1.globo.com/carros/noticia/2025/06/14/honda-civic-ram-3500-e-gwm-poer-veja-lancamentos-fora-os-suvs-confirmados-na-semana.ghtml,carros,19/06/2025
"Honda HR-V, Volvo XC60, Pulse Abarth e mais: veja os SUVs confirmados para o Brasil nesta semana",https://g1.globo.com/carros/noticia/2025/06/13/honda-hr-v-volvo-xc60-pulse-abarth-e-mais-veja-os-suvs-confirmados-para-o-brasil-nesta-semana.ghtml,carros,19/06/2025
Gal Costa e Tim Maia são revividos em musicais de teatro que reforçam a onda de espetáculos sobre ídolos da MPB,https://g1.globo.com/pop-arte/musica/blog/mauro-ferreira/post/2025/06/18/gal-costa-e-tim-maia-sao-revividos-em-musicais-de-teatro-que-reforcam-a-onda-de-espetaculos-sobre-idolos-da-mpb.ghtml,pop-arte,19/06/2025
Jogadores usam Roblox para protestar sobre imigração nos EUA; entenda,https://g1.globo.com/pop-arte/games/noticia/2025/06/18/jogadores-usam-roblox-para-protestar-sobre-imigracao-nos-eua-entenda.ghtml,pop-arte,19/06/2025
"'Jurassic World: Recomeço', com Scarlett Johansson, traz fãs de volta ao reino dos dinossauros",https://g1.globo.com/pop-arte/cinema/noticia/2025/06/18/jurassic-world-recomeco-com-scarlett-johansson-traz-fas-de-volta-ao-reino-dos-dinossauros.ghtml,pop-arte,19/06/2025
'Jurassic World: Recomeço': assista ao trailer,https://g1.globo.com/pop-arte/video/jurassic-world-recomeco-assista-ao-trailer-13691785.ghtml,pop-arte,19/06/2025
Banda irlandesa é acusada de terrorismo e recebe apoio de fãs na frente de tribunal,https://g1.globo.com/pop-arte/noticia/2025/06/18/banda-irlandesa-e-acusada-de-terrorismo-e-recebe-apoio-de-fas-na-frente-de-tribunal.ghtml,pop-arte,19/06/2025
Arlindo Cruz tem alta médica após 50 dias internado; biografia será lançada na Bienal do Livro,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/06/18/arlindo-cruz-tem-alta-medica.ghtml,pop-arte,19/06/2025
Gustavo Ortiz desafoga cinco canções autorais com o gosto amargo da vida em disco produzido por Romulo Fróes,https://g1.globo.com/pop-arte/musica/blog/mauro-ferreira/post/2025/06/18/gustavo-ortiz-desafoga-cinco-cancoes-autorais-com-o-gosto-amargo-da-vida-em-disco-produzido-por-romulo-froes.ghtml,pop-arte,19/06/2025
"Com turnê de samba, Ivete Sangalo reitera a habilidade para se reinventar e se adaptar ao mercado da música",https://g1.globo.com/pop-arte/musica/blog/mauro-ferreira/post/2025/06/18/com-turne-de-samba-ivete-sangalo-reitera-a-habilidade-para-se-reinventar-e-se-adaptar-ao-mercado-da-musica.ghtml,pop-arte,19/06/2025
"Filme sobre Bruce Springsteen, estrelado por Jeremy Allen White, ganha trailer; assista",https://g1.globo.com/pop-arte/cinema/noticia/2025/06/18/filme-sobre-bruce-springsteen-estrelado-por-jeremy-allen-white-ganha-trailer-assista.ghtml,pop-arte,19/06/2025
'Springsteen: Salve-me do Desconhecido' ganha primeiro trailer; assista,https://g1.globo.com/pop-arte/video/springsteen-salve-me-do-desconhecido-ganha-primeiro-trailer-assista-13690550.ghtml,pop-arte,19/06/2025
Noruega inaugura projeto de captura e armazenamento de CO2 em larga escala,https://g1.globo.com/meio-ambiente/noticia/2025/06/18/noruega-inaugura-projeto-de-captura-e-armazenamento-de-co2-em-larga-escala.ghtml,natureza,19/06/2025
Como fica o tempo no feriado? Veja previsão para os próximos dias,https://g1.globo.com/meio-ambiente/noticia/2025/06/18/como-fica-o-tempo-no-feriado-veja-previsao-para-os-proximos-dias.ghtml,natureza,19/06/2025
Leilão x licenciamento: petroleiras arrematam 19 novas áreas para exploração de petróleo na Foz do Amazonas; entenda,https://g1.globo.com/meio-ambiente/noticia/2025/06/17/leilao-x-licenciamento-petroleiras-19-novas-areas-para-exploracao-de-petroleo-na-foz-do-amazonas-entenda.ghtml,natureza,19/06/2025
"Pecuarista leva multa de quase R$ 4,3 milhões e ainda terá de responder por crimes ambientais por pastoreio de gado no Parque Estadual do Rio do Peixe",https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2025/06/16/pecuarista-leva-multa-de-quase-r-43-milhoes-e-ainda-tera-de-responder-por-crimes-ambientais-por-pastoreio-de-gado-no-parque-estadual-do-rio-do-peixe-em-ouro-verde.ghtml,natureza,19/06/2025
"Cidade de SP terá semana com madrugadas frias, mas as temperaturas sobem à tarde",https://g1.globo.com/sp/sao-paulo/noticia/2025/06/16/cidade-de-sp-tera-semana-com-madrugadas-frias-mas-as-temperaturas-sobem-a-tarde.ghtml,natureza,19/06/2025
Por que o oceano está ficando mais escuro?,https://g1.globo.com/meio-ambiente/noticia/2025/06/16/por-que-o-oceano-esta-ficando-mais-escuro.ghtml,natureza,19/06/2025
VÍDEO de outro ângulo mostra momento em que onça-pintada ataca jacaré no Pantanal de MT,https://g1.globo.com/mt/mato-grosso/noticia/2025/06/16/video-de-outro-angulo-mostra-momento-em-que-onca-pintada-ataca-jacare-no-pantanal-de-mt.ghtml,natureza,19/06/2025
"'Quase morri', 'Susto' e mais: teste do sistema de alerta da Defesa Civil no Nordeste gera reações nas redes",https://g1.globo.com/meio-ambiente/noticia/2025/06/14/reacoes-teste-do-sistema-de-alerta-da-defesa-civil-no-nordeste-redes.ghtml,natureza,19/06/2025
Defesa Civil testa novo sistema de alerta emergencial em celulares no Nordeste,https://g1.globo.com/meio-ambiente/noticia/2025/06/14/defesa-civil-testa-novo-sistema-de-alerta-emergencial-em-celulares-no-nordeste.ghtml,natureza,19/06/2025
